image_name,abs_path,butterfly,cat,chicken,cow,dog,elephant,horse,sheep,spider,squirrel,split
929.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/929.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-sYONczrSr2XPpyac38RrGwHaFy.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-sYONczrSr2XPpyac38RrGwHaFy.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-iM-dUenIHnQvjL6Ka9lVTAHaFi.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/squirrel/OIP-iM-dUenIHnQvjL6Ka9lVTAHaFi.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-cBM5tLvaQTs9d3sXonvpNgAAAA.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cow/OIP-cBM5tLvaQTs9d3sXonvpNgAAAA.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-RWzuUHNTA_CqPfx8FL7Y3wHaFI.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/sheep/OIP-RWzuUHNTA_CqPfx8FL7Y3wHaFI.jpeg,0,0,0,0,0,0,0,1,0,0,train
OIP-ufZPuFqaUd8xIlUuLFQ_cAHaNK.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-ufZPuFqaUd8xIlUuLFQ_cAHaNK.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-hKwx9zo4opUszcqkxVEHHgHaFr.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/squirrel/OIP-hKwx9zo4opUszcqkxVEHHgHaFr.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-02i2ucMI44ZBR3-tW8OvQgHaE7.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/spider/OIP-02i2ucMI44ZBR3-tW8OvQgHaE7.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-NK6G6DaN1dRZ8pE1SPVtfAHaFk.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/spider/OIP-NK6G6DaN1dRZ8pE1SPVtfAHaFk.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-SfXSqsDapwG2_3M3GW3FWgHaFn.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-SfXSqsDapwG2_3M3GW3FWgHaFn.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-20RWvsBlnCQIJQZSDySgZwHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/spider/OIP-20RWvsBlnCQIJQZSDySgZwHaE8.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-IuXLZlZWHouqKLP2Ba2k8AHaFE.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/elephant/OIP-IuXLZlZWHouqKLP2Ba2k8AHaFE.jpeg,0,0,0,0,0,1,0,0,0,0,train
OIP-Yjd2DLbqyaYRqQ1kRe6PWAHaE7.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cow/OIP-Yjd2DLbqyaYRqQ1kRe6PWAHaE7.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-8M9QtrIk2OCzN7J8-IRk-gHaEK.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-8M9QtrIk2OCzN7J8-IRk-gHaEK.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-LLwSvYMKnPjNR3KZR1kbuAHaF7.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-LLwSvYMKnPjNR3KZR1kbuAHaF7.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-3YdviNHgl4aL_HaLZwtgUQEsDh.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-3YdviNHgl4aL_HaLZwtgUQEsDh.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-O9_dfQ1MzlKGnGLJOcwrJwHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/squirrel/OIP-O9_dfQ1MzlKGnGLJOcwrJwHaE8.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-pDk2kEfL2a-8O5dRLCzFjQHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-pDk2kEfL2a-8O5dRLCzFjQHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
1079_renamed.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/1079_renamed.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP--QQkYasF-RQTHUkjhY4OwgHaHB.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/horse/OIP--QQkYasF-RQTHUkjhY4OwgHaHB.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-GFRKy9ZK5NjRvJCWK0bPMgHaJP.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-GFRKy9ZK5NjRvJCWK0bPMgHaJP.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-USImzKVLQ3nw2xhhmri-2wHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-USImzKVLQ3nw2xhhmri-2wHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-AaWgRARL_muUSKNYWZciHQHaG3.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/spider/OIP-AaWgRARL_muUSKNYWZciHQHaG3.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-6lUE548MW-yMHf2SEkXP7AHaIB.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-6lUE548MW-yMHf2SEkXP7AHaIB.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-ViCgMKvSkcKbtUPtkBOE6AHaFu.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cow/OIP-ViCgMKvSkcKbtUPtkBOE6AHaFu.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-2qdsOtllzmb4EEvxqLLHrwHaKu.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-2qdsOtllzmb4EEvxqLLHrwHaKu.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-5HFnViDDFQRYyA3VFSwlsgAAAA.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/squirrel/OIP-5HFnViDDFQRYyA3VFSwlsgAAAA.jpeg,0,0,0,0,0,0,0,0,0,1,train
1590.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cat/1590.jpeg,0,1,0,0,0,0,0,0,0,0,train
OIP-LNXGxSQiUQkB5hFq8wn-GgHaMb.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-LNXGxSQiUQkB5hFq8wn-GgHaMb.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-D0LT3RHlRio_N89CNZm2oQHaEo.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/horse/OIP-D0LT3RHlRio_N89CNZm2oQHaEo.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-OWo6M7Of6hTDhzPDal2S1AHaJ3.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-OWo6M7Of6hTDhzPDal2S1AHaJ3.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-rqXIuXs2cOJ624_EAGDPVwHaFR.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-rqXIuXs2cOJ624_EAGDPVwHaFR.jpeg,0,0,0,0,1,0,0,0,0,0,train
493.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cat/493.jpeg,0,1,0,0,0,0,0,0,0,0,train
OIP-YE9OFJVKN8oTj_oDLcV2-wHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-YE9OFJVKN8oTj_oDLcV2-wHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-qNdqfr8qIlblKM8MIfcMawHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-qNdqfr8qIlblKM8MIfcMawHaFj.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-HpGbVLl-Smuobf8jwxR7PgHaHa.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/horse/OIP-HpGbVLl-Smuobf8jwxR7PgHaHa.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-x1221SmHfHYxYhi-h8EhPQEsDJ.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/chicken/OIP-x1221SmHfHYxYhi-h8EhPQEsDJ.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-eKkRNhQ9X79TvamX7FDl2AHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-eKkRNhQ9X79TvamX7FDl2AHaFj.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-OMKBcIGY7h9TJoTdoOC9LwHaJt.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/cow/OIP-OMKBcIGY7h9TJoTdoOC9LwHaJt.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-16s4Wcxpl-k9u3zj9N0UxwHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/spider/OIP-16s4Wcxpl-k9u3zj9N0UxwHaE8.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-iUXoQwgh_hC4n5pScjuTCgHaGS.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/horse/OIP-iUXoQwgh_hC4n5pScjuTCgHaGS.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-bDYjrCBWlijjUE1-aJNpNgHaGY.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/dog/OIP-bDYjrCBWlijjUE1-aJNpNgHaGY.jpeg,0,0,0,0,1,0,0,0,0,0,train
